Caption,Category
Local butcher illegally killed a street dog. Action needed! #2606,Illegal Activities
Urgent help needed for injured stray puppy #9132,Help
Urgent help needed for injured stray puppy #4740,Help
Local butcher illegally killed a street dog. Action needed! #2146,Illegal Activities
Friendly Stray named Simba available for adoption in Biratnagar.,Adoption
Local butcher illegally killed a street dog. Action needed! #114,Illegal Activities
Puppy crying in pain at Kathmandu. Please help!,Help
Free rabies vaccination drive for stray animals at Lalitpur on July 15th.,Vaccination
Wounded animal lying on the road at Kathmandu. Volunteers needed urgently!,Help
Urgent help needed for injured stray puppy #6560,Help
Looking to adopt a 2-month-old vaccinated kitten #9361,Adoption
Local butcher illegally killed a street dog. Action needed! #342,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #7614,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #9906,Illegal Activities
"Dog previously part of illegal fighting ring, now up for adoption",Adoption
Urgent help needed for injured stray puppy #7788,Help
Free rabies vaccination for street dogs in Pokhara this weekend #3075,Vaccination
Local butcher illegally killed a street dog. Action needed! #7890,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #6837,Adoption
Report: Suspected poisoning of stray animals in Bhaktapur. Authorities notified.,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #9637,Adoption
Local butcher illegally killed a street dog. Action needed! #8294,Illegal Activities
Looking to adopt a cute Persian? Meet Simba at Kathmandu.,Adoption
Friendly Persian named Simba available for adoption in Dharan.,Adoption
Local butcher illegally killed a street dog. Action needed! #7410,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #5162,Illegal Activities
Injured stray dog spotted near Pokhara. Immediate assistance needed!,Help
Urgent help needed for injured stray puppy #8700,Help
Free rabies vaccination for street dogs in Pokhara this weekend #5243,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #6857,Adoption
Looking to adopt a 2-month-old vaccinated kitten #3961,Adoption
"Kitten vaccinated after abuse case, help still needed for recovery",Vaccination
Injured stray dog spotted near Itahari. Immediate assistance needed!,Help
Illegal dog fighting ring uncovered in Butwal. Investigation ongoing.,Illegal Activities
Urgent help needed for injured stray puppy #9376,Help
Urgent help needed for injured stray puppy #4976,Help
Urgent help needed for injured stray puppy #128,Help
Local butcher illegally killed a street dog. Action needed in Biratnagar!,Illegal Activities
Report: Suspected poisoning of stray animals in Dharan. Authorities notified.,Illegal Activities
Wounded animal lying on the road at Bhaktapur. Volunteers needed urgently!,Help
"Meet Luna, a lovable Labrador looking for a forever home in Kathmandu.",Adoption
Looking to adopt a 2-month-old vaccinated kitten #8701,Adoption
Local butcher illegally killed a street dog. Action needed! #5414,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #2154,Illegal Activities
Injured stray dog spotted near Lalitpur. Immediate assistance needed!,Help
"Dog rescued from abuse, available for adoption 🙏",Adoption
Abandoned kitten found in Pokhara. Looking for a foster home.,Help
Urgent help needed for injured stray puppy #5692,Help
Vaccination campaign for street dogs happening at Bhaktapur on Monday.,Vaccination
Urgent help needed for injured stray puppy #6180,Help
Looking to adopt a 2-month-old vaccinated kitten #1489,Adoption
Join us for a community pet vaccination event in Dharan.,Vaccination
Local butcher illegally killed a street dog. Action needed! #5430,Illegal Activities
Abandoned kitten found in Butwal. Looking for a foster home.,Help
Urgent help needed for injured stray puppy #768,Help
Local butcher illegally killed a street dog. Action needed! #9186,Illegal Activities
Urgent help needed for injured stray puppy #1212,Help
Puppy crying in pain at Bhaktapur. Please help!,Help
Free rabies vaccination for street dogs in Pokhara this weekend #8779,Vaccination
Local butcher illegally killed a street dog. Action needed! #9082,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #7894,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #9006,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #9690,Illegal Activities
"Kitten was injured but now healthy, ready for adoption 🐱",Adoption
Local butcher illegally killed a street dog. Action needed! #2626,Illegal Activities
Friendly German Shepherd named Max available for adoption in Itahari.,Adoption
"Rescued dog was previously abused, report illegal breeder 🚨",Illegal Activities
"Meet Luna, a lovable German Shepherd looking for a forever home in Biratnagar.",Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #1899,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #5805,Adoption
Vaccination campaign for street dogs happening at Itahari on August 1st.,Vaccination
Adopt Max and give them the loving family they deserve.,Adoption
Free rabies vaccination drive for stray animals at Lalitpur on Monday.,Vaccination
Urgent help needed for injured stray puppy #8784,Help
Illegal dog fighting ring uncovered in Itahari. Investigation ongoing.,Illegal Activities
Looking to adopt a cute Stray? Meet Luna at Lalitpur.,Adoption
Friendly Beagle named Charlie available for adoption in Butwal.,Adoption
Vaccination campaign for street dogs happening at Bhaktapur on August 1st.,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #4847,Vaccination
Free rabies vaccination drive for stray animals at Bhaktapur on this weekend.,Vaccination
Urgent help needed for injured stray puppy #3048,Help
Urgent help needed for injured stray puppy #4856,Help
Free rabies vaccination for street dogs in Pokhara this weekend #739,Vaccination
Local butcher illegally killed a street dog. Action needed! #6094,Illegal Activities
Urgent help needed for injured stray puppy #8840,Help
Cruel treatment of animals reported near Butwal. Raise your voice!,Illegal Activities
Urgent help needed for injured stray puppy #7892,Help
Local butcher illegally killed a street dog. Action needed! #3022,Illegal Activities
Urgent help needed for injured stray puppy #1740,Help
Looking to adopt a cute Beagle? Meet Bella at Itahari.,Adoption
Local butcher illegally killed a street dog. Action needed! #5614,Illegal Activities
Puppy crying in pain at Dharan. Please help!,Help
Local butcher illegally killed a street dog. Action needed! #2354,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #6485,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #9535,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #8673,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #6379,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #235,Vaccination
Wounded animal lying on the road at Biratnagar. Volunteers needed urgently!,Help
Looking to adopt a cute Stray? Meet Coco at Pokhara.,Adoption
Local butcher illegally killed a street dog. Action needed! #1578,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #8078,Illegal Activities
Urgent help needed for injured stray puppy #9536,Help
Local butcher illegally killed a street dog. Action needed! #1702,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #1514,Illegal Activities
Join us for a community pet vaccination event in Lalitpur.,Vaccination
Local butcher illegally killed a street dog. Action needed! #1742,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #6469,Adoption
Urgent help needed for injured stray puppy #3676,Help
Looking to adopt a 2-month-old vaccinated kitten #6785,Adoption
Looking to adopt a 2-month-old vaccinated kitten #5693,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #7335,Vaccination
Adopt Charlie and give them the loving family they deserve.,Adoption
Friendly Pug named Max available for adoption in Lalitpur.,Adoption
Wounded animal lying on the road at Itahari. Volunteers needed urgently!,Help
Urgent help needed for injured stray puppy #984,Help
Join us for a community pet vaccination event in Kathmandu.,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #2799,Vaccination
Puppy crying in pain at Lalitpur. Please help!,Help
Friendly Pug named Simba available for adoption in Kathmandu.,Adoption
Urgent help needed for injured stray puppy #1008,Help
Vaccination campaign for street dogs happening at Kathmandu on Monday.,Vaccination
Looking to adopt a cute Beagle? Meet Coco at Butwal.,Adoption
Looking to adopt a 2-month-old vaccinated kitten #4465,Adoption
"Meet Coco, a lovable Stray looking for a forever home in Dharan.",Adoption
Urgent help needed for injured stray puppy #1488,Help
Local butcher illegally killed a street dog. Action needed! #2074,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #6797,Adoption
Local butcher illegally killed a street dog. Action needed! #4418,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #7278,Illegal Activities
Free rabies vaccination drive for stray animals at Biratnagar on this weekend.,Vaccination
Urgent help needed for injured stray puppy #7476,Help
Protect our strays: vaccination camp at Lalitpur this this weekend.,Vaccination
Protect our strays: vaccination camp at Pokhara this Monday.,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #939,Vaccination
Report: Suspected poisoning of stray animals in Kathmandu. Authorities notified.,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #3619,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #4303,Vaccination
Urgent help needed for injured stray puppy #5948,Help
Urgent help needed for injured stray puppy #3064,Help
Local butcher illegally killed a street dog. Action needed! #3250,Illegal Activities
Protect our strays: vaccination camp at Itahari this Tuesday.,Vaccination
Illegal dog fighting ring uncovered in Lalitpur. Investigation ongoing.,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #6333,Adoption
Illegal dog fighting ring uncovered in Dharan. Investigation ongoing.,Illegal Activities
Urgent help needed for injured stray puppy #2152,Help
Urgent help needed for injured stray puppy #9640,Help
Free rabies vaccination for street dogs in Pokhara this weekend #1031,Vaccination
Cruel treatment of animals reported near Lalitpur. Raise your voice!,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #2971,Vaccination
Cruel treatment of animals reported near Itahari. Raise your voice!,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #4470,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #5962,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #863,Vaccination
Local butcher illegally killed a street dog. Action needed! #7754,Illegal Activities
Looking to adopt a cute Stray? Meet Bella at Dharan.,Adoption
Urgent help needed for injured stray puppy #560,Help
Local butcher illegally killed a street dog. Action needed! #598,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #2426,Illegal Activities
Urgent help needed for injured stray puppy #980,Help
Local butcher illegally killed a street dog. Action needed! #406,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #9566,Illegal Activities
Urgent help needed for injured stray puppy #1472,Help
Free rabies vaccination for street dogs in Pokhara this weekend #2063,Vaccination
Join us for a community pet vaccination event in Biratnagar.,Vaccination
Urgent help needed for injured stray puppy #968,Help
Local butcher illegally killed a street dog. Action needed! #6266,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #2393,Adoption
"Meet Bella, a lovable Beagle looking for a forever home in Kathmandu.",Adoption
Urgent help needed for injured stray puppy #2776,Help
Local butcher illegally killed a street dog. Action needed in Butwal!,Illegal Activities
Looking to adopt a cute Pug? Meet Coco at Itahari.,Adoption
Free rabies vaccination drive for stray animals at Biratnagar on Tuesday.,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #4797,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #4459,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #8217,Adoption
Looking to adopt a 2-month-old vaccinated kitten #7041,Adoption
Local butcher illegally killed a street dog. Action needed! #2414,Illegal Activities
Protect our strays: vaccination camp at Pokhara this Tuesday.,Vaccination
Injured stray dog spotted near Butwal. Immediate assistance needed!,Help
Free rabies vaccination for street dogs in Pokhara this weekend #1623,Vaccination
Local butcher illegally killed a street dog. Action needed! #2078,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #7734,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #726,Illegal Activities
Friendly Labrador named Bella available for adoption in Biratnagar.,Adoption
Friendly Persian named Coco available for adoption in Pokhara.,Adoption
Urgent help needed for injured stray puppy #276,Help
Protect our strays: vaccination camp at Butwal this July 15th.,Vaccination
Injured stray dog spotted near Dharan. Immediate assistance needed!,Help
Local butcher illegally killed a street dog. Action needed! #4642,Illegal Activities
Urgent help needed for injured stray puppy #8524,Help
Urgent help needed for injured stray puppy #3420,Help
Friendly Labrador named Bella available for adoption in Itahari.,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #6139,Vaccination
Vaccination campaign for street dogs happening at Butwal on this weekend.,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #2315,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #6601,Adoption
Urgent help needed for injured stray puppy #7592,Help
Local butcher illegally killed a street dog. Action needed in Kathmandu!,Illegal Activities
Protect our strays: vaccination camp at Butwal this Tuesday.,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #7187,Vaccination
Local butcher illegally killed a street dog. Action needed in Pokhara!,Illegal Activities
Urgent help needed for injured stray puppy #8772,Help
Local butcher illegally killed a street dog. Action needed! #78,Illegal Activities
Free rabies vaccination drive for stray animals at Kathmandu on July 15th.,Vaccination
Cruel treatment of animals reported near Dharan. Raise your voice!,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #45,Adoption
Looking to adopt a 2-month-old vaccinated kitten #4329,Adoption
Local butcher illegally killed a street dog. Action needed! #1846,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #6586,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #7550,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #5091,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #8393,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #399,Vaccination
Vaccination campaign for street dogs happening at Bhaktapur on Tuesday.,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #883,Vaccination
Urgent help needed for injured stray puppy #3720,Help
Local butcher illegally killed a street dog. Action needed! #7846,Illegal Activities
Adopt Simba and give them the loving family they deserve.,Adoption
Free rabies vaccination drive for stray animals at Bhaktapur on July 15th.,Vaccination
Urgent help needed for injured stray puppy #8832,Help
Urgent help needed for injured stray puppy #9340,Help
Illegal dog fighting ring uncovered in Bhaktapur. Investigation ongoing.,Illegal Activities
Urgent help needed for injured stray puppy #4368,Help
Free rabies vaccination for street dogs in Pokhara this weekend #4659,Vaccination
Injured stray dog spotted near Bhaktapur. Immediate assistance needed!,Help
Urgent help needed for injured stray puppy #6204,Help
Free rabies vaccination for street dogs in Pokhara this weekend #7507,Vaccination
Local butcher illegally killed a street dog. Action needed! #7170,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #7663,Vaccination
Local butcher illegally killed a street dog. Action needed! #9542,Illegal Activities
"Meet Luna, a lovable Stray looking for a forever home in Dharan.",Adoption
Urgent help needed for injured stray puppy #7120,Help
Urgent help needed for injured stray puppy #352,Help
Free rabies vaccination for street dogs in Pokhara this weekend #299,Vaccination
Friendly Beagle named Simba available for adoption in Pokhara.,Adoption
Looking to adopt a 2-month-old vaccinated kitten #8417,Adoption
Urgent help needed for injured stray puppy #7172,Help
Free rabies vaccination drive for stray animals at Butwal on Monday.,Vaccination
Protect our strays: vaccination camp at Kathmandu this Tuesday.,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #1405,Adoption
Local butcher illegally killed a street dog. Action needed in Itahari!,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #746,Illegal Activities
Friendly German Shepherd named Bella available for adoption in Lalitpur.,Adoption
Urgent help needed for injured stray puppy #3804,Help
Urgent help needed for injured stray puppy #3492,Help
Urgent help needed for injured stray puppy #8340,Help
Free rabies vaccination for street dogs in Pokhara this weekend #2051,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #5955,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #8003,Vaccination
Protect our strays: vaccination camp at Lalitpur this July 15th.,Vaccination
Local butcher illegally killed a street dog. Action needed! #5746,Illegal Activities
Puppy crying in pain at Itahari. Please help!,Help
Local butcher illegally killed a street dog. Action needed! #4198,Illegal Activities
Urgent help needed for injured stray puppy #5820,Help
Local butcher illegally killed a street dog. Action needed! #8842,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #586,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #9591,Vaccination
Urgent help needed for injured stray puppy #8896,Help
Looking to adopt a cute Beagle? Meet Luna at Dharan.,Adoption
Looking to adopt a 2-month-old vaccinated kitten #2621,Adoption
Vaccination campaign for street dogs happening at Itahari on Tuesday.,Vaccination
Friendly Persian named Bella available for adoption in Butwal.,Adoption
Looking to adopt a 2-month-old vaccinated kitten #2101,Adoption
Urgent help needed for injured stray puppy #2140,Help
"Meet Simba, a lovable Labrador looking for a forever home in Kathmandu.",Adoption
Adopt Bella and give them the loving family they deserve.,Adoption
Free rabies vaccination drive for stray animals at Butwal on August 1st.,Vaccination
Local butcher illegally killed a street dog. Action needed! #38,Illegal Activities
Looking to adopt a cute Persian? Meet Simba at Butwal.,Adoption
Looking to adopt a 2-month-old vaccinated kitten #261,Adoption
Local butcher illegally killed a street dog. Action needed! #6982,Illegal Activities
Looking to adopt a cute Persian? Meet Charlie at Butwal.,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #1327,Vaccination
"Meet Charlie, a lovable Persian looking for a forever home in Butwal.",Adoption
Illegal dog fighting ring uncovered in Pokhara. Investigation ongoing.,Illegal Activities
Urgent help needed for injured stray puppy #5844,Help
Urgent help needed for injured stray puppy #9912,Help
Looking to adopt a 2-month-old vaccinated kitten #2793,Adoption
Local butcher illegally killed a street dog. Action needed! #146,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #4499,Vaccination
Local butcher illegally killed a street dog. Action needed! #438,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #4563,Vaccination
Local butcher illegally killed a street dog. Action needed! #6382,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #2947,Vaccination
Urgent help needed for injured stray puppy #6404,Help
Free rabies vaccination for street dogs in Pokhara this weekend #6383,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #1387,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #6953,Adoption
Vaccination campaign for street dogs happening at Pokhara on this weekend.,Vaccination
Local butcher illegally killed a street dog. Action needed! #4050,Illegal Activities
Looking to adopt a cute Beagle? Meet Max at Lalitpur.,Adoption
Vaccination campaign for street dogs happening at Dharan on August 1st.,Vaccination
Local butcher illegally killed a street dog. Action needed! #4410,Illegal Activities
Urgent help needed for injured stray puppy #1788,Help
Local butcher illegally killed a street dog. Action needed! #7306,Illegal Activities
Friendly German Shepherd named Max available for adoption in Kathmandu.,Adoption
Local butcher illegally killed a street dog. Action needed! #4770,Illegal Activities
Friendly Persian named Charlie available for adoption in Dharan.,Adoption
Looking to adopt a 2-month-old vaccinated kitten #5281,Adoption
Abandoned kitten found in Kathmandu. Looking for a foster home.,Help
Looking to adopt a 2-month-old vaccinated kitten #6497,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #6983,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #1193,Adoption
Vaccination campaign for street dogs happening at Lalitpur on Tuesday.,Vaccination
Protect our strays: vaccination camp at Lalitpur this Tuesday.,Vaccination
Local butcher illegally killed a street dog. Action needed! #242,Illegal Activities
Urgent help needed for injured stray puppy #5736,Help
Free rabies vaccination for street dogs in Pokhara this weekend #3999,Vaccination
Local butcher illegally killed a street dog. Action needed! #1990,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #7694,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #2705,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #2463,Vaccination
Urgent help needed for injured stray puppy #8836,Help
Local butcher illegally killed a street dog. Action needed! #7814,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #7086,Illegal Activities
Urgent help needed for injured stray puppy #5980,Help
Urgent help needed for injured stray puppy #7816,Help
Friendly Pug named Charlie available for adoption in Pokhara.,Adoption
Abandoned kitten found in Bhaktapur. Looking for a foster home.,Help
Local butcher illegally killed a street dog. Action needed! #5518,Illegal Activities
Puppy crying in pain at Butwal. Please help!,Help
Free rabies vaccination for street dogs in Pokhara this weekend #7731,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #353,Adoption
Local butcher illegally killed a street dog. Action needed! #2738,Illegal Activities
Friendly Stray named Bella available for adoption in Dharan.,Adoption
Friendly Beagle named Max available for adoption in Itahari.,Adoption
Local butcher illegally killed a street dog. Action needed! #1622,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #205,Adoption
Friendly Pug named Simba available for adoption in Biratnagar.,Adoption
Looking to adopt a 2-month-old vaccinated kitten #8553,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #6011,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #2417,Adoption
Urgent help needed for injured stray puppy #8072,Help
Urgent help needed for injured stray puppy #2556,Help
Local butcher illegally killed a street dog. Action needed! #6338,Illegal Activities
Cruel treatment of animals reported near Biratnagar. Raise your voice!,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #5293,Adoption
Looking to adopt a 2-month-old vaccinated kitten #4493,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #7599,Vaccination
Local butcher illegally killed a street dog. Action needed! #7346,Illegal Activities
Abandoned kitten found in Biratnagar. Looking for a foster home.,Help
Free rabies vaccination for street dogs in Pokhara this weekend #9995,Vaccination
Friendly German Shepherd named Simba available for adoption in Lalitpur.,Adoption
Vaccination campaign for street dogs happening at Kathmandu on this weekend.,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #7115,Vaccination
Local butcher illegally killed a street dog. Action needed! #814,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #2518,Illegal Activities
Urgent help needed for injured stray puppy #884,Help
Local butcher illegally killed a street dog. Action needed! #4538,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #3534,Illegal Activities
"Meet Bella, a lovable Persian looking for a forever home in Butwal.",Adoption
Urgent help needed for injured stray puppy #9936,Help
Looking to adopt a 2-month-old vaccinated kitten #9681,Adoption
Local butcher illegally killed a street dog. Action needed! #1198,Illegal Activities
Abandoned kitten found in Dharan. Looking for a foster home.,Help
Free rabies vaccination for street dogs in Pokhara this weekend #1255,Vaccination
Local butcher illegally killed a street dog. Action needed! #2526,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #8341,Adoption
Cruel treatment of animals reported near Kathmandu. Raise your voice!,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #1941,Adoption
Looking to adopt a 2-month-old vaccinated kitten #6201,Adoption
Looking to adopt a 2-month-old vaccinated kitten #7697,Adoption
Looking to adopt a cute Pug? Meet Bella at Butwal.,Adoption
Looking to adopt a 2-month-old vaccinated kitten #4477,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #19,Vaccination
Free rabies vaccination drive for stray animals at Butwal on this weekend.,Vaccination
Free rabies vaccination drive for stray animals at Biratnagar on August 1st.,Vaccination
Injured stray dog spotted near Kathmandu. Immediate assistance needed!,Help
Join us for a community pet vaccination event in Itahari.,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #803,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #8887,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #5199,Vaccination
Looking to adopt a cute Persian? Meet Max at Itahari.,Adoption
Urgent help needed for injured stray puppy #656,Help
Looking to adopt a cute Labrador? Meet Luna at Dharan.,Adoption
Friendly German Shepherd named Charlie available for adoption in Butwal.,Adoption
Report: Suspected poisoning of stray animals in Biratnagar. Authorities notified.,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #3517,Adoption
