Caption,Category
Vaccinashun drive 4 stray animals ongoing rn,Vaccination
Free rabies vaccination drive for stray animals at Bhaktapur on July 15th.,Vaccination
"Meet Luna, a lovable Pug looking for a forever home in Itahari.",Adoption
Kitten trafficking ring busted in city 🐱❌,Illegal Activities
Looking to adopt a cute Beagle? Meet Luna at Kathmandu.,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #5191,Vaccination
Local butcher illegally killed a street dog. Action needed! #5694,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #9946,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #4354,Illegal Activities
Illegal puppy adoption scam running in Pokhara 😡,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #8353,Adoption
Urgent help needed for injured stray puppy #7580,Help
"Stray cat hurt badly, ppl plz hlp 🙏",Help
Urgent help needed for injured stray puppy #4092,Help
Kitten trafficking ring busted in city 🐱❌,Illegal Activities
Adopt Max and give them the loving family they deserve.,Adoption
Looking to adopt a 2-month-old vaccinated kitten #9349,Adoption
Looking to adopt a 2-month-old vaccinated kitten #5657,Adoption
"Meet Bella, a lovable Beagle looking for a forever home in Dharan.",Adoption
Protect our strays: vaccination camp at Lalitpur this Tuesday.,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #8665,Adoption
Local butcher illegally killed a street dog. Action needed! #2042,Illegal Activities
Protect our strays: vaccination camp at Butwal this Monday.,Vaccination
Urgent help needed for injured stray puppy #8724,Help
Illegal dog fighting ring uncovered in Kathmandu. Investigation ongoing.,Illegal Activities
Urgent help needed for injured stray puppy #7244,Help
Free rabies vaccination for street dogs in Pokhara this weekend #2331,Vaccination
Rescued dog needs surgery nd foster home ASAP!,Help
Injured stray dog spotted near Butwal. Immediate assistance needed!,Help
Local butcher illegally killed a street dog. Action needed! #1506,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #2890,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #5978,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #2758,Illegal Activities
Dog fighting spotted 😢 report ASAP!!,Illegal Activities
Join us for a community pet vaccination event in Biratnagar.,Vaccination
Local butcher illegally killed a street dog. Action needed in Kathmandu!,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #7518,Illegal Activities
"Stray cat hurt badly, ppl plz hlp 🙏",Help
Animal abuse recorded on street cam 🚨,Illegal Activities
Animal abuse recorded on street cam 🚨,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #2146,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #6541,Adoption
Vaccination campaign for street dogs happening at Bhaktapur on August 1st.,Vaccination
Urgent help needed for injured stray puppy #5820,Help
Urgent help needed for injured stray puppy #3952,Help
Local butcher illegally killed a street dog. Action needed! #2058,Illegal Activities
Protect our strays: vaccination camp at Pokhara this Tuesday.,Vaccination
Animal abuse recorded on street cam 🚨,Illegal Activities
"Adopshun needed 4 lil pup, very friendly!",Adoption
Illegal dog fighting ring uncovered in Kathmandu. Investigation ongoing.,Illegal Activities
Sweet doggo ready for adop after vaccinashun 💉🐶,Adoption
Local butcher illegally killed a street dog. Action needed! #3338,Illegal Activities
Vaccination campaign for street dogs happening at Butwal on August 1st.,Vaccination
Poachers selling stray dogs in market,Illegal Activities
Illegal dog fighting ring uncovered in Pokhara. Investigation ongoing.,Illegal Activities
Cruel treatment of animals reported near Biratnagar. Raise your voice!,Illegal Activities
Cruel treatment of animals reported near Dharan. Raise your voice!,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #5765,Adoption
Local butcher illegally killed a street dog. Action needed! #4938,Illegal Activities
Adopt Luna and give them the loving family they deserve.,Adoption
Vaccination campaign for street dogs happening at Bhaktapur on Monday.,Vaccination
Local butcher illegally killed a street dog. Action needed! #2402,Illegal Activities
"Meet Luna, a lovable Pug looking for a forever home in Lalitpur.",Adoption
Wounded animal lying on the road at Lalitpur. Volunteers needed urgently!,Help
Join us for a community pet vaccination event in Biratnagar.,Vaccination
Vaccination campaign for street dogs happening at Dharan on August 1st.,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #4415,Vaccination
OMG guys this pup needs HELP rn!! vaccinated last week tho 😭,Help
Report: Suspected poisoning of stray animals in Dharan. Authorities notified.,Illegal Activities
Free rabies vaccination drive for stray animals at Lalitpur on July 15th.,Vaccination
Urgent help needed for injured stray puppy #1816,Help
Urgent help needed for injured stray puppy #600,Help
Local butcher illegally killed a street dog. Action needed! #4798,Illegal Activities
Cat already vaccinated but needs checkup again,Vaccination
Friendly Pug named Bella available for adoption in Itahari.,Adoption
Sweet doggo ready for adop after vaccinashun 💉🐶,Adoption
Looking to adopt a 2-month-old vaccinated kitten #3609,Adoption
Looking to adopt a 2-month-old vaccinated kitten #5465,Adoption
Free rabies vaccination drive for stray animals at Kathmandu on this weekend.,Vaccination
Illegal dog fighting ring uncovered in Butwal. Investigation ongoing.,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #9853,Adoption
Illegal dog fighting ring uncovered in Dharan. Investigation ongoing.,Illegal Activities
Free rabiez vaccine camp 2day near Itahari 🐾,Vaccination
Injured stray dog spotted near Itahari. Immediate assistance needed!,Help
"Meet Coco, a lovable German Shepherd looking for a forever home in Dharan.",Adoption
Looking to adopt a 2-month-old vaccinated kitten #7505,Adoption
OMG guys this pup needs HELP rn!! vaccinated last week tho 😭,Help
"Meet Charlie, a lovable Beagle looking for a forever home in Itahari.",Adoption
Join us for a community pet vaccination event in Dharan.,Vaccination
Join us for a community pet vaccination event in Kathmandu.,Vaccination
Injured stray dog spotted near Butwal. Immediate assistance needed!,Help
Protect our strays: vaccination camp at Kathmandu this Monday.,Vaccination
"Meet Max, a lovable Labrador looking for a forever home in Butwal.",Adoption
Wounded animal lying on the road at Bhaktapur. Volunteers needed urgently!,Help
Vaccinashun drive 4 stray animals ongoing rn,Vaccination
Local butcher illegally killed a street dog. Action needed! #4378,Illegal Activities
Report: Suspected poisoning of stray animals in Bhaktapur. Authorities notified.,Illegal Activities
Looking to adopt a cute Beagle? Meet Charlie at Biratnagar.,Adoption
Friendly Persian named Charlie available for adoption in Itahari.,Adoption
Cruel treatment of animals reported near Bhaktapur. Raise your voice!,Illegal Activities
Join us for a community pet vaccination event in Bhaktapur.,Vaccination
Report: Suspected poisoning of stray animals in Dharan. Authorities notified.,Illegal Activities
Friendly Pug named Simba available for adoption in Biratnagar.,Adoption
Urgent help needed for injured stray puppy #2724,Help
Looking to adopt a 2-month-old vaccinated kitten #3553,Adoption
"Wounded doggo seen near park, already vaccinated but needs HELP",Help
Free rabies vaccination for street dogs in Pokhara this weekend #1127,Vaccination
Urgent help needed for injured stray puppy #7604,Help
Adopt Simba and give them the loving family they deserve.,Adoption
Urgent help needed for injured stray puppy #8972,Help
Wounded animal lying on the road at Lalitpur. Volunteers needed urgently!,Help
"Stray cat hurt badly, ppl plz hlp 🙏",Help
Wounded animal lying on the road at Butwal. Volunteers needed urgently!,Help
Free rabies vaccination for street dogs in Pokhara this weekend #6451,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #6427,Vaccination
Urgent help needed for injured stray puppy #5252,Help
Vaccinashun drive 4 stray animals ongoing rn,Vaccination
Urgent help needed for injured stray puppy #8872,Help
Friendly Beagle named Simba available for adoption in Pokhara.,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #4587,Vaccination
Friendly Pug named Max available for adoption in Kathmandu.,Adoption
Looking to adopt a 2-month-old vaccinated kitten #3977,Adoption
OMG guys this pup needs HELP rn!! vaccinated last week tho 😭,Help
Cruel treatment of animals reported near Itahari. Raise your voice!,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #9069,Adoption
Looking to adopt a 2-month-old vaccinated kitten #761,Adoption
Urgent help needed for injured stray puppy #840,Help
"Adopshun needed 4 lil pup, very friendly!",Adoption
Urgent help needed for injured stray puppy #3620,Help
Puppy adoption scam?? or legit?? idk 🤔,Adoption
Report: Suspected poisoning of stray animals in Biratnagar. Authorities notified.,Illegal Activities
Local butcher illegally killed a street dog. Action needed in Lalitpur!,Illegal Activities
"Stray pup got first vaccinashun, next due nxt month",Vaccination
"Meet Charlie, a lovable Pug looking for a forever home in Lalitpur.",Adoption
Local butcher illegally killed a street dog. Action needed! #6674,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #2365,Adoption
Vaccination campaign for street dogs happening at Itahari on July 15th.,Vaccination
Abandoned kitten found in Dharan. Looking for a foster home.,Help
Urgent help needed for injured stray puppy #2396,Help
Injured stray dog spotted near Bhaktapur. Immediate assistance needed!,Help
Free rabies vaccination for street dogs in Pokhara this weekend #4279,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #7917,Adoption
Cruel treatment of animals reported near Pokhara. Raise your voice!,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #6790,Illegal Activities
Puppy crying in pain at Kathmandu. Please help!,Help
Injured stray dog spotted near Biratnagar. Immediate assistance needed!,Help
Urgent help needed for injured stray puppy #296,Help
Local butcher illegally killed a street dog. Action needed! #2750,Illegal Activities
Urgent help needed for injured stray puppy #12,Help
Local butcher illegally killed a street dog. Action needed! #9762,Illegal Activities
"Wounded doggo seen near park, already vaccinated but needs HELP",Help
Looking to adopt a cute Persian? Meet Bella at Kathmandu.,Adoption
"Stray pup got first vaccinashun, next due nxt month",Vaccination
"Stray cat hurt badly, ppl plz hlp 🙏",Help
Free rabies vaccination drive for stray animals at Butwal on Monday.,Vaccination
Poachers selling stray dogs in market,Illegal Activities
Urgent help needed for injured stray puppy #3836,Help
Puppy crying in pain at Lalitpur. Please help!,Help
Local butcher illegally killed a street dog. Action needed! #3514,Illegal Activities
Puppy adoption scam?? or legit?? idk 🤔,Adoption
Puppy adoption scam?? or legit?? idk 🤔,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #8999,Vaccination
Local butcher illegally killed a street dog. Action needed! #462,Illegal Activities
"Wounded doggo seen near park, already vaccinated but needs HELP",Help
Illegal dog fighting ring uncovered in Pokhara. Investigation ongoing.,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #6798,Illegal Activities
Vaccination campaign for street dogs happening at Pokhara on Tuesday.,Vaccination
Friendly German Shepherd named Charlie available for adoption in Butwal.,Adoption
Illegal dog fighting ring uncovered in Pokhara. Investigation ongoing.,Illegal Activities
Kitten trafficking ring busted in city 🐱❌,Illegal Activities
"Meet Charlie, a lovable German Shepherd looking for a forever home in Pokhara.",Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #5259,Vaccination
Rescued dog needs surgery nd foster home ASAP!,Help
Friendly Beagle named Bella available for adoption in Bhaktapur.,Adoption
"Stray pup got first vaccinashun, next due nxt month",Vaccination
Poachers selling stray dogs in market,Illegal Activities
Adopt Bella and give them the loving family they deserve.,Adoption
Local butcher illegally killed a street dog. Action needed! #2570,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #3073,Adoption
Illegal dog fighting ring uncovered in Lalitpur. Investigation ongoing.,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #2591,Vaccination
Free rabies vaccination drive for stray animals at Dharan on Tuesday.,Vaccination
Free rabies vaccination drive for stray animals at Lalitpur on July 15th.,Vaccination
Illegal dog fighting ring uncovered in Bhaktapur. Investigation ongoing.,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #5443,Vaccination
Injured stray dog spotted near Kathmandu. Immediate assistance needed!,Help
Local butcher illegally killed a street dog. Action needed in Itahari!,Illegal Activities
Rescued dog needs surgery nd foster home ASAP!,Help
Puppy crying in pain at Dharan. Please help!,Help
Illegal dog fighting ring uncovered in Kathmandu. Investigation ongoing.,Illegal Activities
Free rabies vaccination drive for stray animals at Butwal on this weekend.,Vaccination
Injured stray dog spotted near Butwal. Immediate assistance needed!,Help
Looking to adopt a cute Pug? Meet Luna at Kathmandu.,Adoption
Injured stray dog spotted near Butwal. Immediate assistance needed!,Help
Looking to adopt a 2-month-old vaccinated kitten #8161,Adoption
Puppy crying in pain at Biratnagar. Please help!,Help
"Meet Coco, a lovable Stray looking for a forever home in Dharan.",Adoption
Free rabies vaccination drive for stray animals at Itahari on August 1st.,Vaccination
"Wounded doggo seen near park, already vaccinated but needs HELP",Help
Urgent help needed for injured stray puppy #8688,Help
Local butcher illegally killed a street dog. Action needed! #3758,Illegal Activities
Looking to adopt a cute Pug? Meet Charlie at Butwal.,Adoption
Looking to adopt a 2-month-old vaccinated kitten #9137,Adoption
Wounded animal lying on the road at Bhaktapur. Volunteers needed urgently!,Help
Doggo is injurd n crying pls adop if u can 🐶💔,Help
Cruel treatment of animals reported near Kathmandu. Raise your voice!,Illegal Activities
Urgent help needed for injured stray puppy #2136,Help
Local butcher illegally killed a street dog. Action needed in Dharan!,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #7355,Vaccination
Looking to adopt a cute Persian? Meet Bella at Lalitpur.,Adoption
Injured stray dog spotted near Kathmandu. Immediate assistance needed!,Help
Free rabies vaccination for street dogs in Pokhara this weekend #6811,Vaccination
Kitten trafficking ring busted in city 🐱❌,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #3169,Adoption
Urgent help needed for injured stray puppy #772,Help
Free rabies vaccination drive for stray animals at Pokhara on Monday.,Vaccination
Looking to adopt a cute Stray? Meet Coco at Lalitpur.,Adoption
Cruel treatment of animals reported near Itahari. Raise your voice!,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #3365,Adoption
Looking to adopt a 2-month-old vaccinated kitten #4417,Adoption
Local butcher illegally killed a street dog. Action needed! #5794,Illegal Activities
Poachers selling stray dogs in market,Illegal Activities
Adopt Coco and give them the loving family they deserve.,Adoption
Join us for a community pet vaccination event in Itahari.,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #9587,Vaccination
"Stray pup got first vaccinashun, next due nxt month",Vaccination
Injured stray dog spotted near Itahari. Immediate assistance needed!,Help
Puppy adoption scam?? or legit?? idk 🤔,Adoption
Urgent help needed for injured stray puppy #8008,Help
Free rabies vaccination for street dogs in Pokhara this weekend #2431,Vaccination
Report: Suspected poisoning of stray animals in Dharan. Authorities notified.,Illegal Activities
Illegal puppy adoption scam running in Pokhara 😡,Illegal Activities
Local butcher illegally killed a street dog. Action needed in Pokhara!,Illegal Activities
Illegal puppy adoption scam running in Pokhara 😡,Illegal Activities
"Adopshun needed 4 lil pup, very friendly!",Adoption
Local butcher illegally killed a street dog. Action needed in Kathmandu!,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #9634,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #5666,Illegal Activities
Friendly Beagle named Coco available for adoption in Dharan.,Adoption
Sweet doggo ready for adop after vaccinashun 💉🐶,Adoption
Adopt Simba and give them the loving family they deserve.,Adoption
Urgent help needed for injured stray puppy #1988,Help
Free rabies vaccination for street dogs in Pokhara this weekend #8927,Vaccination
Local butcher illegally killed a street dog. Action needed in Biratnagar!,Illegal Activities
Vaccination campaign for street dogs happening at Kathmandu on this weekend.,Vaccination
Puppy adoption scam?? or legit?? idk 🤔,Adoption
"Adopshun needed 4 lil pup, very friendly!",Adoption
Urgent help needed for injured stray puppy #628,Help
Urgent help needed for injured stray puppy #7288,Help
Report: Suspected poisoning of stray animals in Biratnagar. Authorities notified.,Illegal Activities
Urgent help needed for injured stray puppy #8216,Help
Join us for a community pet vaccination event in Kathmandu.,Vaccination
Local butcher illegally killed a street dog. Action needed! #8006,Illegal Activities
Cat available 4 adoption after rescue n treatment,Adoption
Adopt Coco and give them the loving family they deserve.,Adoption
Injured stray dog spotted near Dharan. Immediate assistance needed!,Help
Wounded animal lying on the road at Bhaktapur. Volunteers needed urgently!,Help
Wounded animal lying on the road at Bhaktapur. Volunteers needed urgently!,Help
Local butcher illegally killed a street dog. Action needed! #8358,Illegal Activities
Doggo needz vaccinashun ASAP 💉😭,Vaccination
"Stray pup got first vaccinashun, next due nxt month",Vaccination
Cat already vaccinated but needs checkup again,Vaccination
Puppy crying in pain at Pokhara. Please help!,Help
Report: Suspected poisoning of stray animals in Pokhara. Authorities notified.,Illegal Activities
Urgent help needed for injured stray puppy #7008,Help
Adopt Simba and give them the loving family they deserve.,Adoption
Free rabies vaccination drive for stray animals at Itahari on Tuesday.,Vaccination
Join us for a community pet vaccination event in Kathmandu.,Vaccination
Kitten trafficking ring busted in city 🐱❌,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #1242,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #6425,Adoption
Protect our strays: vaccination camp at Bhaktapur this Tuesday.,Vaccination
Local butcher illegally killed a street dog. Action needed! #2034,Illegal Activities
Vaccinashun drive 4 stray animals ongoing rn,Vaccination
"Kitten rescued, vaccinated alrdy, looking 4 a home 🐱🏠",Adoption
Looking to adopt a 2-month-old vaccinated kitten #2273,Adoption
Urgent help needed for injured stray puppy #228,Help
Wounded animal lying on the road at Lalitpur. Volunteers needed urgently!,Help
"Adopshun needed 4 lil pup, very friendly!",Adoption
Urgent help needed for injured stray puppy #2536,Help
Wounded animal lying on the road at Bhaktapur. Volunteers needed urgently!,Help
"Stray pup got first vaccinashun, next due nxt month",Vaccination
Local butcher illegally killed a street dog. Action needed! #2606,Illegal Activities
Friendly Persian named Charlie available for adoption in Bhaktapur.,Adoption
Wounded animal lying on the road at Kathmandu. Volunteers needed urgently!,Help
Looking to adopt a 2-month-old vaccinated kitten #9985,Adoption
Looking to adopt a 2-month-old vaccinated kitten #981,Adoption
Urgent help needed for injured stray puppy #6804,Help
Report: Suspected poisoning of stray animals in Itahari. Authorities notified.,Illegal Activities
Illegal dog fighting ring uncovered in Itahari. Investigation ongoing.,Illegal Activities
Local butcher illegally killed a street dog. Action needed in Lalitpur!,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #5559,Vaccination
OMG guys this pup needs HELP rn!! vaccinated last week tho 😭,Help
Looking to adopt a 2-month-old vaccinated kitten #9449,Adoption
Local butcher illegally killed a street dog. Action needed! #3978,Illegal Activities
Poachers selling stray dogs in market,Illegal Activities
Illegal puppy adoption scam running in Pokhara 😡,Illegal Activities
"Meet Simba, a lovable Persian looking for a forever home in Bhaktapur.",Adoption
Urgent help needed for injured stray puppy #752,Help
Free rabies vaccination drive for stray animals at Itahari on Monday.,Vaccination
Local butcher illegally killed a street dog. Action needed! #670,Illegal Activities
Urgent help needed for injured stray puppy #1924,Help
Local butcher illegally killed a street dog. Action needed! #422,Illegal Activities
Cruel treatment of animals reported near Itahari. Raise your voice!,Illegal Activities
Urgent help needed for injured stray puppy #372,Help
Puppy crying in pain at Dharan. Please help!,Help
Looking to adopt a cute German Shepherd? Meet Luna at Bhaktapur.,Adoption
Report: Suspected poisoning of stray animals in Butwal. Authorities notified.,Illegal Activities
Protect our strays: vaccination camp at Pokhara this July 15th.,Vaccination
Puppy crying in pain at Butwal. Please help!,Help
Local butcher illegally killed a street dog. Action needed! #8518,Illegal Activities
Puppy crying in pain at Kathmandu. Please help!,Help
Free rabies vaccination for street dogs in Pokhara this weekend #3287,Vaccination
Free rabies vaccination drive for stray animals at Kathmandu on August 1st.,Vaccination
"Adopshun needed 4 lil pup, very friendly!",Adoption
Cat already vaccinated but needs checkup again,Vaccination
Illegal puppy adoption scam running in Pokhara 😡,Illegal Activities
Cat already vaccinated but needs checkup again,Vaccination
Vaccinashun drive 4 stray animals ongoing rn,Vaccination
Local butcher illegally killed a street dog. Action needed! #4982,Illegal Activities
Vaccination campaign for street dogs happening at Bhaktapur on Tuesday.,Vaccination
Puppy crying in pain at Pokhara. Please help!,Help
Urgent help needed for injured stray puppy #244,Help
Local butcher illegally killed a street dog. Action needed! #3838,Illegal Activities
Vaccinashun drive 4 stray animals ongoing rn,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #9407,Vaccination
Urgent help needed for injured stray puppy #1316,Help
Kitten trafficking ring busted in city 🐱❌,Illegal Activities
"Meet Coco, a lovable Pug looking for a forever home in Bhaktapur.",Adoption
Local butcher illegally killed a street dog. Action needed! #6510,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #6543,Vaccination
Free rabiez vaccine camp 2day near Itahari 🐾,Vaccination
Vaccination campaign for street dogs happening at Butwal on Tuesday.,Vaccination
Join us for a community pet vaccination event in Pokhara.,Vaccination
Illegal dog fighting ring uncovered in Dharan. Investigation ongoing.,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #63,Vaccination
Injured stray dog spotted near Itahari. Immediate assistance needed!,Help
Cat already vaccinated but needs checkup again,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #7895,Vaccination
Abandoned kitten found in Kathmandu. Looking for a foster home.,Help
Free rabies vaccination for street dogs in Pokhara this weekend #1063,Vaccination
Illegal dog fighting ring uncovered in Itahari. Investigation ongoing.,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #6397,Adoption
Free rabies vaccination drive for stray animals at Bhaktapur on this weekend.,Vaccination
Puppy crying in pain at Lalitpur. Please help!,Help
Free rabiez vaccine camp 2day near Itahari 🐾,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #3019,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #3995,Vaccination
Looking to adopt a cute Persian? Meet Coco at Itahari.,Adoption
Join us for a community pet vaccination event in Lalitpur.,Vaccination
Free rabiez vaccine camp 2day near Itahari 🐾,Vaccination
Cruel treatment of animals reported near Itahari. Raise your voice!,Illegal Activities
Free rabies vaccination drive for stray animals at Pokhara on Tuesday.,Vaccination
Friendly German Shepherd named Charlie available for adoption in Pokhara.,Adoption
Free rabies vaccination drive for stray animals at Butwal on August 1st.,Vaccination
Dog fighting spotted 😢 report ASAP!!,Illegal Activities
Join us for a community pet vaccination event in Itahari.,Vaccination
Sweet doggo ready for adop after vaccinashun 💉🐶,Adoption
Illegal puppy adoption scam running in Pokhara 😡,Illegal Activities
OMG guys this pup needs HELP rn!! vaccinated last week tho 😭,Help
Join us for a community pet vaccination event in Butwal.,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #321,Adoption
Looking to adopt a 2-month-old vaccinated kitten #5797,Adoption
"Meet Max, a lovable Pug looking for a forever home in Lalitpur.",Adoption
Local butcher illegally killed a street dog. Action needed! #8242,Illegal Activities
Illegal dog fighting ring uncovered in Kathmandu. Investigation ongoing.,Illegal Activities
Urgent help needed for injured stray puppy #6276,Help
Urgent help needed for injured stray puppy #5832,Help
Protect our strays: vaccination camp at Kathmandu this Tuesday.,Vaccination
Animal abuse recorded on street cam 🚨,Illegal Activities
Report: Suspected poisoning of stray animals in Butwal. Authorities notified.,Illegal Activities
Urgent help needed for injured stray puppy #9052,Help
OMG guys this pup needs HELP rn!! vaccinated last week tho 😭,Help
Local butcher illegally killed a street dog. Action needed in Bhaktapur!,Illegal Activities
Doggo is injurd n crying pls adop if u can 🐶💔,Help
Abandoned kitten found in Biratnagar. Looking for a foster home.,Help
Join us for a community pet vaccination event in Dharan.,Vaccination
Local butcher illegally killed a street dog. Action needed! #9102,Illegal Activities
Protect our strays: vaccination camp at Lalitpur this Monday.,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #1973,Adoption
Abandoned kitten found in Pokhara. Looking for a foster home.,Help
Abandoned kitten found in Pokhara. Looking for a foster home.,Help
"Stray cat hurt badly, ppl plz hlp 🙏",Help
Adopt Simba and give them the loving family they deserve.,Adoption
Dog fighting spotted 😢 report ASAP!!,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #8638,Illegal Activities
Sweet doggo ready for adop after vaccinashun 💉🐶,Adoption
Free rabies vaccination drive for stray animals at Bhaktapur on Monday.,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #229,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #8183,Vaccination
Rescued dog needs surgery nd foster home ASAP!,Help
Free rabies vaccination drive for stray animals at Butwal on this weekend.,Vaccination
Doggo is injurd n crying pls adop if u can 🐶💔,Help
Looking to adopt a 2-month-old vaccinated kitten #1753,Adoption
Protect our strays: vaccination camp at Biratnagar this this weekend.,Vaccination
Local butcher illegally killed a street dog. Action needed! #2650,Illegal Activities
Abandoned kitten found in Butwal. Looking for a foster home.,Help
Looking to adopt a cute Pug? Meet Luna at Kathmandu.,Adoption
Looking to adopt a 2-month-old vaccinated kitten #7945,Adoption
Adopt Max and give them the loving family they deserve.,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #3199,Vaccination
Free rabies vaccination drive for stray animals at Pokhara on July 15th.,Vaccination
Local butcher illegally killed a street dog. Action needed! #1214,Illegal Activities
Wounded animal lying on the road at Kathmandu. Volunteers needed urgently!,Help
Puppy crying in pain at Pokhara. Please help!,Help
