Caption,Category
Vaccinated puppy looking for adoption — needs caring home 🏠,Adoption
"Injured puppy already vaccinated, but still needs urgent help 😢",Help
Free rabies vaccination for street dogs in Pokhara this weekend #7963,Vaccination
Stray kitten offered for adoption without proper vaccination,Illegal Activities
Illegal dog fighting ring uncovered in Biratnagar. Investigation ongoing.,Illegal Activities
Vaccination campaign for street dogs happening at Biratnagar on August 1st.,Vaccination
Local butcher illegally killed a street dog. Action needed! #982,Illegal Activities
"Animal abuse victim, please help, might need new home later",Help
Free rabies vaccination for street dogs in Pokhara this weekend #3235,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #9367,Vaccination
Puppy crying in pain at Biratnagar. Please help!,Help
Puppy crying in pain at Pokhara. Please help!,Help
Local butcher illegally killed a street dog. Action needed! #5878,Illegal Activities
Rescued puppy available for adoption after vaccination 💉,Vaccination
Free rabies vaccination drive for stray animals at Itahari on July 15th.,Vaccination
Vaccination records faked during illegal puppy sales,Illegal Activities
Protect our strays: vaccination camp at Itahari this Monday.,Vaccination
Friendly Pug named Bella available for adoption in Butwal.,Adoption
Stray kitten offered for adoption without proper vaccination,Illegal Activities
Dog fighting and illegal adoption both spotted near town,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #2606,Illegal Activities
Vaccinated puppy looking for adoption — needs caring home 🏠,Adoption
Urgent help needed for injured stray puppy #9132,Help
Urgent help needed for injured stray puppy #4740,Help
Local butcher illegally killed a street dog. Action needed! #2146,Illegal Activities
Friendly Stray named Simba available for adoption in Biratnagar.,Adoption
Local butcher illegally killed a street dog. Action needed! #114,Illegal Activities
Puppy crying in pain at Kathmandu. Please help!,Help
Free rabies vaccination drive for stray animals at Lalitpur on July 15th.,Vaccination
Wounded animal lying on the road at Kathmandu. Volunteers needed urgently!,Help
Urgent help needed for injured stray puppy #6560,Help
Looking to adopt a 2-month-old vaccinated kitten #9361,Adoption
Local butcher illegally killed a street dog. Action needed! #342,Illegal Activities
"Rescued stray vaccinated last week, adoption requests open",Adoption
Local butcher illegally killed a street dog. Action needed! #7614,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #9906,Illegal Activities
Rescued puppy available for adoption after vaccination 💉,Vaccination
"Dog previously part of illegal fighting ring, now up for adoption",Adoption
Urgent help needed for injured stray puppy #7788,Help
Free rabies vaccination for street dogs in Pokhara this weekend #3075,Vaccination
Dog fighting and illegal adoption both spotted near town,Illegal Activities
Stray dog vaccinated at camp but still needs HELP immediately 🙏,Help
Illegal puppy adoption scam disguised as vaccination drive 😡,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #7890,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #6837,Adoption
Report: Suspected poisoning of stray animals in Bhaktapur. Authorities notified.,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #9637,Adoption
Local butcher illegally killed a street dog. Action needed! #8294,Illegal Activities
Looking to adopt a cute Persian? Meet Simba at Kathmandu.,Adoption
Friendly Persian named Simba available for adoption in Dharan.,Adoption
Local butcher illegally killed a street dog. Action needed! #7410,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #5162,Illegal Activities
Injured stray dog spotted near Pokhara. Immediate assistance needed!,Help
Urgent help needed for injured stray puppy #8700,Help
Join us for a community pet vaccination event in Butwal.,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #5243,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #6857,Adoption
Looking to adopt a 2-month-old vaccinated kitten #3961,Adoption
Wounded animal lying on the road at Kathmandu. Volunteers needed urgently!,Help
"Kitten vaccinated after abuse case, help still needed for recovery",Vaccination
Injured stray dog spotted near Itahari. Immediate assistance needed!,Help
Illegal dog fighting ring uncovered in Butwal. Investigation ongoing.,Illegal Activities
"Rescued kitten vaccinated last week, but requires surgery ASAP",Help
Urgent help needed for injured stray puppy #9376,Help
Free rabies vaccination drive for stray animals at Lalitpur on July 15th.,Vaccination
Urgent help needed for injured stray puppy #4976,Help
Urgent help needed for injured stray puppy #128,Help
Local butcher illegally killed a street dog. Action needed in Biratnagar!,Illegal Activities
Report: Suspected poisoning of stray animals in Dharan. Authorities notified.,Illegal Activities
Wounded animal lying on the road at Bhaktapur. Volunteers needed urgently!,Help
"Rescued stray vaccinated last week, adoption requests open",Adoption
Dog rescued from illegal breeder got vaccination this week,Vaccination
"Rescued kitten vaccinated last week, but requires surgery ASAP",Help
Report: Suspected poisoning of stray animals in Butwal. Authorities notified.,Illegal Activities
Vaccination records faked during illegal puppy sales,Illegal Activities
"Meet Luna, a lovable Labrador looking for a forever home in Kathmandu.",Adoption
Looking to adopt a 2-month-old vaccinated kitten #8701,Adoption
Local butcher illegally killed a street dog. Action needed! #5414,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #2154,Illegal Activities
Injured stray dog spotted near Lalitpur. Immediate assistance needed!,Help
Wounded animal lying on the road at Bhaktapur. Volunteers needed urgently!,Help
"Dog rescued from abuse, available for adoption 🙏",Adoption
Abandoned kitten found in Pokhara. Looking for a foster home.,Help
Urgent help needed for injured stray puppy #5692,Help
Vaccination campaign for street dogs happening at Bhaktapur on Monday.,Vaccination
Urgent help needed for injured stray puppy #6180,Help
Looking to adopt a 2-month-old vaccinated kitten #1489,Adoption
Join us for a community pet vaccination event in Dharan.,Vaccination
Vaccination records faked during illegal puppy sales,Illegal Activities
Rescued puppy available for adoption after vaccination 💉,Vaccination
Local butcher illegally killed a street dog. Action needed in Bhaktapur!,Illegal Activities
Vaccination records faked during illegal puppy sales,Illegal Activities
Wounded animal lying on the road at Bhaktapur. Volunteers needed urgently!,Help
Local butcher illegally killed a street dog. Action needed! #5430,Illegal Activities
Abandoned kitten found in Butwal. Looking for a foster home.,Help
Urgent help needed for injured stray puppy #768,Help
Adopt Coco and give them the loving family they deserve.,Adoption
Abandoned kitten found in Butwal. Looking for a foster home.,Help
Local butcher illegally killed a street dog. Action needed! #9186,Illegal Activities
"Rescued stray vaccinated last week, adoption requests open",Adoption
Dog rescued from illegal breeder got vaccination this week,Vaccination
Urgent help needed for injured stray puppy #1212,Help
Puppy crying in pain at Bhaktapur. Please help!,Help
Stray kitten offered for adoption without proper vaccination,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #8779,Vaccination
Local butcher illegally killed a street dog. Action needed! #9082,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #7894,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #9006,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #9690,Illegal Activities
"Animal abuse victim, please help, might need new home later",Help
"Kitten was injured but now healthy, ready for adoption 🐱",Adoption
Local butcher illegally killed a street dog. Action needed! #2626,Illegal Activities
Friendly German Shepherd named Max available for adoption in Itahari.,Adoption
Injured stray dog spotted near Lalitpur. Immediate assistance needed!,Help
"Rescued dog was previously abused, report illegal breeder 🚨",Illegal Activities
"Rescued stray vaccinated last week, adoption requests open",Adoption
"Meet Luna, a lovable German Shepherd looking for a forever home in Biratnagar.",Adoption
Vaccinated puppy looking for adoption — needs caring home 🏠,Adoption
Vaccinated puppy looking for adoption — needs caring home 🏠,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #1899,Vaccination
"Animal abuse victim, please help, might need new home later",Help
Vaccinated puppy looking for adoption — needs caring home 🏠,Adoption
Looking to adopt a 2-month-old vaccinated kitten #5805,Adoption
Vaccination campaign for street dogs happening at Itahari on August 1st.,Vaccination
Join us for a community pet vaccination event in Butwal.,Vaccination
Adopt Max and give them the loving family they deserve.,Adoption
Free rabies vaccination drive for stray animals at Lalitpur on Monday.,Vaccination
Urgent help needed for injured stray puppy #8784,Help
"Dog previously part of illegal fighting ring, now up for adoption",Adoption
"Rescued kitten vaccinated last week, but requires surgery ASAP",Help
"Rescued dog was previously abused, report illegal breeder 🚨",Illegal Activities
Illegal dog fighting ring uncovered in Itahari. Investigation ongoing.,Illegal Activities
Stray dog vaccinated at camp but still needs HELP immediately 🙏,Help
"Free vaccination camp for stray animals, some need adoption too",Vaccination
"Rescued kitten vaccinated last week, but requires surgery ASAP",Help
Looking to adopt a cute Stray? Meet Luna at Lalitpur.,Adoption
Friendly Beagle named Charlie available for adoption in Butwal.,Adoption
Illegal puppy adoption scam disguised as vaccination drive 😡,Illegal Activities
Vaccinated puppy looking for adoption — needs caring home 🏠,Adoption
"Doggo injured and now vaccinated, waiting for new home 🐕",Vaccination
"Injured puppy already vaccinated, but still needs urgent help 😢",Help
"Dog previously part of illegal fighting ring, now up for adoption",Adoption
Vaccination campaign for street dogs happening at Bhaktapur on August 1st.,Vaccination
Stray kitten offered for adoption without proper vaccination,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #4847,Vaccination
Free rabies vaccination drive for stray animals at Bhaktapur on this weekend.,Vaccination
"Kitten was injured but now healthy, ready for adoption 🐱",Adoption
Illegal puppy adoption scam disguised as vaccination drive 😡,Illegal Activities
Urgent help needed for injured stray puppy #3048,Help
"Injured puppy already vaccinated, but still needs urgent help 😢",Help
Urgent help needed for injured stray puppy #4856,Help
Stray kitten offered for adoption without proper vaccination,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #739,Vaccination
Local butcher illegally killed a street dog. Action needed! #6094,Illegal Activities
Wounded animal lying on the road at Kathmandu. Volunteers needed urgently!,Help
Urgent help needed for injured stray puppy #8840,Help
"Dog previously part of illegal fighting ring, now up for adoption",Adoption
Stray dog vaccinated at camp but still needs HELP immediately 🙏,Help
Injured stray dog spotted near Lalitpur. Immediate assistance needed!,Help
Cruel treatment of animals reported near Butwal. Raise your voice!,Illegal Activities
"Animal abuse victim, please help, might need new home later",Help
"Kitten vaccinated after abuse case, help still needed for recovery",Vaccination
"Dog previously part of illegal fighting ring, now up for adoption",Adoption
Urgent help needed for injured stray puppy #7892,Help
"Dog rescued from abuse, available for adoption 🙏",Adoption
Local butcher illegally killed a street dog. Action needed! #3022,Illegal Activities
Stray kitten offered for adoption without proper vaccination,Illegal Activities
"Rescued kitten vaccinated last week, but requires surgery ASAP",Help
Urgent help needed for injured stray puppy #1740,Help
Local butcher illegally killed a street dog. Action needed in Dharan!,Illegal Activities
Looking to adopt a cute Beagle? Meet Bella at Itahari.,Adoption
Local butcher illegally killed a street dog. Action needed! #5614,Illegal Activities
Stray dog vaccinated at camp but still needs HELP immediately 🙏,Help
Puppy crying in pain at Dharan. Please help!,Help
Rescued puppy available for adoption after vaccination 💉,Vaccination
Local butcher illegally killed a street dog. Action needed! #2354,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #6485,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #9535,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #8673,Adoption
Free rabies vaccination drive for stray animals at Lalitpur on Monday.,Vaccination
"Free vaccination camp for stray animals, some need adoption too",Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #6379,Vaccination
"Injured puppy already vaccinated, but still needs urgent help 😢",Help
"Dog rescued from abuse, available for adoption 🙏",Adoption
"Rescued dog was previously abused, report illegal breeder 🚨",Illegal Activities
"Rescued dog was previously abused, report illegal breeder 🚨",Illegal Activities
Report: Suspected poisoning of stray animals in Pokhara. Authorities notified.,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #235,Vaccination
"Rescued kitten vaccinated last week, but requires surgery ASAP",Help
Wounded animal lying on the road at Biratnagar. Volunteers needed urgently!,Help
Dog fighting and illegal adoption both spotted near town,Illegal Activities
"Dog rescued from abuse, available for adoption 🙏",Adoption
Report: Suspected poisoning of stray animals in Dharan. Authorities notified.,Illegal Activities
"Kitten was injured but now healthy, ready for adoption 🐱",Adoption
Looking to adopt a cute Stray? Meet Coco at Pokhara.,Adoption
Report: Suspected poisoning of stray animals in Butwal. Authorities notified.,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #1578,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #8078,Illegal Activities
Urgent help needed for injured stray puppy #9536,Help
Stray kitten offered for adoption without proper vaccination,Illegal Activities
Dog rescued from illegal breeder got vaccination this week,Vaccination
"Doggo injured and now vaccinated, waiting for new home 🐕",Vaccination
"Rescued kitten vaccinated last week, but requires surgery ASAP",Help
"Rescued dog was previously abused, report illegal breeder 🚨",Illegal Activities
Local butcher illegally killed a street dog. Action needed! #1702,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #1514,Illegal Activities
Join us for a community pet vaccination event in Lalitpur.,Vaccination
Local butcher illegally killed a street dog. Action needed! #1742,Illegal Activities
Dog fighting and illegal adoption both spotted near town,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #6469,Adoption
Urgent help needed for injured stray puppy #3676,Help
Vaccination records faked during illegal puppy sales,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #6785,Adoption
"Animal abuse victim, please help, might need new home later",Help
Looking to adopt a 2-month-old vaccinated kitten #5693,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #7335,Vaccination
Adopt Charlie and give them the loving family they deserve.,Adoption
Doggo looking for adoption after accident — needs medical help first 🐶💔,Help
Friendly Pug named Max available for adoption in Lalitpur.,Adoption
Report: Suspected poisoning of stray animals in Bhaktapur. Authorities notified.,Illegal Activities
Stray dog vaccinated at camp but still needs HELP immediately 🙏,Help
"Doggo injured and now vaccinated, waiting for new home 🐕",Vaccination
"Kitten was injured but now healthy, ready for adoption 🐱",Adoption
"Rescued kitten vaccinated last week, but requires surgery ASAP",Help
Rescued puppy available for adoption after vaccination 💉,Vaccination
Stray dog vaccinated at camp but still needs HELP immediately 🙏,Help
Wounded animal lying on the road at Itahari. Volunteers needed urgently!,Help
Dog fighting and illegal adoption both spotted near town,Illegal Activities
Urgent help needed for injured stray puppy #984,Help
Join us for a community pet vaccination event in Kathmandu.,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #2799,Vaccination
Puppy crying in pain at Biratnagar. Please help!,Help
Puppy crying in pain at Lalitpur. Please help!,Help
Friendly Pug named Simba available for adoption in Kathmandu.,Adoption
Urgent help needed for injured stray puppy #1008,Help
Dog rescued from illegal breeder got vaccination this week,Vaccination
Vaccination campaign for street dogs happening at Kathmandu on Monday.,Vaccination
Looking to adopt a cute Beagle? Meet Coco at Butwal.,Adoption
Looking to adopt a 2-month-old vaccinated kitten #4465,Adoption
"Meet Coco, a lovable Stray looking for a forever home in Dharan.",Adoption
Urgent help needed for injured stray puppy #1488,Help
Local butcher illegally killed a street dog. Action needed! #2074,Illegal Activities
Rescued puppy available for adoption after vaccination 💉,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #6797,Adoption
"Rescued dog was previously abused, report illegal breeder 🚨",Illegal Activities
Local butcher illegally killed a street dog. Action needed! #4418,Illegal Activities
"Animal abuse victim, please help, might need new home later",Help
"Kitten vaccinated after abuse case, help still needed for recovery",Vaccination
"Rescued dog was previously abused, report illegal breeder 🚨",Illegal Activities
Local butcher illegally killed a street dog. Action needed! #7278,Illegal Activities
Illegal dog fighting ring uncovered in Itahari. Investigation ongoing.,Illegal Activities
Join us for a community pet vaccination event in Lalitpur.,Vaccination
Free rabies vaccination drive for stray animals at Biratnagar on this weekend.,Vaccination
Urgent help needed for injured stray puppy #7476,Help
Protect our strays: vaccination camp at Lalitpur this this weekend.,Vaccination
Vaccination records faked during illegal puppy sales,Illegal Activities
Stray kitten offered for adoption without proper vaccination,Illegal Activities
"Rescued stray vaccinated last week, adoption requests open",Adoption
Illegal puppy adoption scam disguised as vaccination drive 😡,Illegal Activities
"Rescued kitten vaccinated last week, but requires surgery ASAP",Help
Puppy crying in pain at Dharan. Please help!,Help
Protect our strays: vaccination camp at Pokhara this Monday.,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #939,Vaccination
Dog fighting and illegal adoption both spotted near town,Illegal Activities
Adopt Max and give them the loving family they deserve.,Adoption
Report: Suspected poisoning of stray animals in Kathmandu. Authorities notified.,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #3619,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #4303,Vaccination
"Rescued kitten vaccinated last week, but requires surgery ASAP",Help
Urgent help needed for injured stray puppy #5948,Help
"Dog previously part of illegal fighting ring, now up for adoption",Adoption
Urgent help needed for injured stray puppy #3064,Help
Local butcher illegally killed a street dog. Action needed! #3250,Illegal Activities
Stray dog vaccinated at camp but still needs HELP immediately 🙏,Help
Join us for a community pet vaccination event in Kathmandu.,Vaccination
Illegal puppy adoption scam disguised as vaccination drive 😡,Illegal Activities
Protect our strays: vaccination camp at Itahari this Tuesday.,Vaccination
Puppy crying in pain at Bhaktapur. Please help!,Help
Illegal dog fighting ring uncovered in Lalitpur. Investigation ongoing.,Illegal Activities
Puppy crying in pain at Pokhara. Please help!,Help
Looking to adopt a 2-month-old vaccinated kitten #6333,Adoption
Illegal dog fighting ring uncovered in Dharan. Investigation ongoing.,Illegal Activities
Urgent help needed for injured stray puppy #2152,Help
Urgent help needed for injured stray puppy #9640,Help
"Free vaccination camp for stray animals, some need adoption too",Vaccination
Join us for a community pet vaccination event in Bhaktapur.,Vaccination
Report: Suspected poisoning of stray animals in Bhaktapur. Authorities notified.,Illegal Activities
Illegal puppy adoption scam disguised as vaccination drive 😡,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #1031,Vaccination
"Rescued kitten vaccinated last week, but requires surgery ASAP",Help
Cruel treatment of animals reported near Lalitpur. Raise your voice!,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #2971,Vaccination
Cruel treatment of animals reported near Itahari. Raise your voice!,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #4470,Illegal Activities
"Rescued stray vaccinated last week, adoption requests open",Adoption
Local butcher illegally killed a street dog. Action needed! #5962,Illegal Activities
Stray dog vaccinated at camp but still needs HELP immediately 🙏,Help
"Kitten vaccinated after abuse case, help still needed for recovery",Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #863,Vaccination
Local butcher illegally killed a street dog. Action needed! #7754,Illegal Activities
Looking to adopt a cute Stray? Meet Bella at Dharan.,Adoption
Urgent help needed for injured stray puppy #560,Help
Dog fighting and illegal adoption both spotted near town,Illegal Activities
Doggo looking for adoption after accident — needs medical help first 🐶💔,Help
Rescued puppy available for adoption after vaccination 💉,Vaccination
Local butcher illegally killed a street dog. Action needed! #598,Illegal Activities
Puppy crying in pain at Biratnagar. Please help!,Help
Cruel treatment of animals reported near Bhaktapur. Raise your voice!,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #2426,Illegal Activities
Urgent help needed for injured stray puppy #980,Help
"Kitten vaccinated after abuse case, help still needed for recovery",Vaccination
"Injured puppy already vaccinated, but still needs urgent help 😢",Help
"Kitten vaccinated after abuse case, help still needed for recovery",Vaccination
Stray kitten offered for adoption without proper vaccination,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #406,Illegal Activities
"Kitten was injured but now healthy, ready for adoption 🐱",Adoption
Local butcher illegally killed a street dog. Action needed! #9566,Illegal Activities
Urgent help needed for injured stray puppy #1472,Help
Free rabies vaccination for street dogs in Pokhara this weekend #2063,Vaccination
Join us for a community pet vaccination event in Biratnagar.,Vaccination
Urgent help needed for injured stray puppy #968,Help
Dog fighting and illegal adoption both spotted near town,Illegal Activities
"Kitten was injured but now healthy, ready for adoption 🐱",Adoption
Puppy crying in pain at Bhaktapur. Please help!,Help
Illegal puppy adoption scam disguised as vaccination drive 😡,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #6266,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #2393,Adoption
"Animal abuse victim, please help, might need new home later",Help
"Meet Bella, a lovable Beagle looking for a forever home in Kathmandu.",Adoption
Urgent help needed for injured stray puppy #2776,Help
Rescued puppy available for adoption after vaccination 💉,Vaccination
Puppy crying in pain at Lalitpur. Please help!,Help
Stray kitten offered for adoption without proper vaccination,Illegal Activities
Local butcher illegally killed a street dog. Action needed in Butwal!,Illegal Activities
Looking to adopt a cute Pug? Meet Coco at Itahari.,Adoption
Stray dog vaccinated at camp but still needs HELP immediately 🙏,Help
"Injured puppy already vaccinated, but still needs urgent help 😢",Help
Free rabies vaccination drive for stray animals at Biratnagar on Tuesday.,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #4797,Adoption
Report: Suspected poisoning of stray animals in Butwal. Authorities notified.,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #4459,Vaccination
Looking to adopt a cute Persian? Meet Coco at Dharan.,Adoption
Looking to adopt a 2-month-old vaccinated kitten #8217,Adoption
Looking to adopt a 2-month-old vaccinated kitten #7041,Adoption
Local butcher illegally killed a street dog. Action needed! #2414,Illegal Activities
Protect our strays: vaccination camp at Pokhara this Tuesday.,Vaccination
Injured stray dog spotted near Butwal. Immediate assistance needed!,Help
Free rabies vaccination for street dogs in Pokhara this weekend #1623,Vaccination
Join us for a community pet vaccination event in Kathmandu.,Vaccination
"Free vaccination camp for stray animals, some need adoption too",Vaccination
Local butcher illegally killed a street dog. Action needed! #2078,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #7734,Illegal Activities
Puppy crying in pain at Lalitpur. Please help!,Help
Doggo looking for adoption after accident — needs medical help first 🐶💔,Help
Local butcher illegally killed a street dog. Action needed! #726,Illegal Activities
"Kitten vaccinated after abuse case, help still needed for recovery",Vaccination
Friendly Labrador named Bella available for adoption in Biratnagar.,Adoption
"Kitten was injured but now healthy, ready for adoption 🐱",Adoption
Friendly Persian named Coco available for adoption in Pokhara.,Adoption
Urgent help needed for injured stray puppy #276,Help
"Free vaccination camp for stray animals, some need adoption too",Vaccination
Illegal dog fighting ring uncovered in Biratnagar. Investigation ongoing.,Illegal Activities
Protect our strays: vaccination camp at Butwal this July 15th.,Vaccination
Injured stray dog spotted near Dharan. Immediate assistance needed!,Help
"Injured puppy already vaccinated, but still needs urgent help 😢",Help
Local butcher illegally killed a street dog. Action needed! #4642,Illegal Activities
"Rescued dog was previously abused, report illegal breeder 🚨",Illegal Activities
Urgent help needed for injured stray puppy #8524,Help
Urgent help needed for injured stray puppy #3420,Help
Friendly Labrador named Bella available for adoption in Itahari.,Adoption
Join us for a community pet vaccination event in Bhaktapur.,Vaccination
"Doggo injured and now vaccinated, waiting for new home 🐕",Vaccination
Report: Suspected poisoning of stray animals in Dharan. Authorities notified.,Illegal Activities
Illegal puppy adoption scam disguised as vaccination drive 😡,Illegal Activities
Illegal puppy adoption scam disguised as vaccination drive 😡,Illegal Activities
"Free vaccination camp for stray animals, some need adoption too",Vaccination
Protect our strays: vaccination camp at Itahari this Tuesday.,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #6139,Vaccination
Vaccination campaign for street dogs happening at Butwal on this weekend.,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #2315,Vaccination
Adopt Charlie and give them the loving family they deserve.,Adoption
Dog fighting and illegal adoption both spotted near town,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #6601,Adoption
Urgent help needed for injured stray puppy #7592,Help
